CalendarYearMonth,Value,District
1995-12,141103,Barking and Dagenham
1996-03,142139,Barking and Dagenham
1996-06,142531,Barking and Dagenham
1996-09,144106,Barking and Dagenham
1996-12,144569,Barking and Dagenham
1997-03,145681,Barking and Dagenham
1997-06,147257,Barking and Dagenham
1997-09,152480,Barking and Dagenham
1997-12,157165,Barking and Dagenham
1998-03,160984,Barking and Dagenham
1998-06,166597,Barking and Dagenham
1998-09,172130,Barking and Dagenham
1998-12,177385,Barking and Dagenham
1999-03,179774,Barking and Dagenham
1999-06,181743,Barking and Dagenham
1999-09,187948,Barking and Dagenham
1999-12,193243,Barking and Dagenham
2000-03,199561,Barking and Dagenham
2000-06,208530,Barking and Dagenham
2000-09,220711,Barking and Dagenham
2000-12,230945,Barking and Dagenham
2001-03,238094,Barking and Dagenham
2001-06,245572,Barking and Dagenham
2001-09,253429,Barking and Dagenham
2001-12,263178,Barking and Dagenham
2002-03,271882,Barking and Dagenham
2002-06,288181,Barking and Dagenham
2002-09,311297,Barking and Dagenham
2002-12,332513,Barking and Dagenham
2003-03,356901,Barking and Dagenham
2003-06,383905,Barking and Dagenham
2003-09,401033,Barking and Dagenham
2003-12,414299,Barking and Dagenham
2004-03,425933,Barking and Dagenham
2004-06,440142,Barking and Dagenham
2004-09,454668,Barking and Dagenham
2004-12,468961,Barking and Dagenham
2005-03,480024,Barking and Dagenham
2005-06,484308,Barking and Dagenham
2005-09,482748,Barking and Dagenham
2005-12,483564,Barking and Dagenham
2006-03,483687,Barking and Dagenham
2006-06,488100,Barking and Dagenham
2006-09,491838,Barking and Dagenham
2006-12,496819,Barking and Dagenham
2007-03,503887,Barking and Dagenham
2007-06,516964,Barking and Dagenham
2007-09,531559,Barking and Dagenham
2007-12,546875,Barking and Dagenham
2008-03,556990,Barking and Dagenham
2008-06,563563,Barking and Dagenham
2008-09,560351,Barking and Dagenham
2008-12,553652,Barking and Dagenham
2009-03,536969,Barking and Dagenham
2009-06,505703,Barking and Dagenham
2009-09,475301,Barking and Dagenham
2009-12,467749,Barking and Dagenham
2010-03,468762,Barking and Dagenham
2010-06,474250,Barking and Dagenham
2010-09,487911,Barking and Dagenham
2010-12,498472,Barking and Dagenham
2011-03,501916,Barking and Dagenham
2011-06,501171,Barking and Dagenham
2011-09,501497,Barking and Dagenham
2011-12,499628,Barking and Dagenham
